qid,set_id,attribute,target_direction,target_text,question,clip_a,clip_b,clip_a_role,clip_b_role,correct_choice,source_trial_id,item_id,age_group,gender_group,decision_from_curation,selection_score
Q11,3,gender_male,negative,less masculine-presenting,Which clip sounds less masculine-presenting?,audio/Q11_gender_male_negative_NaturalVoices__MSP-PODCAST_2484__MSP-PODCAST_2484_483_reference.wav,audio/Q11_gender_male_negative_NaturalVoices__MSP-PODCAST_2484__MSP-PODCAST_2484_483_edited.wav,reference,edited,B,0065_gender_male_negative_NaturalVoices__MSP-PODCAST_2484__MSP-PODCAST_2484_483,NaturalVoices::MSP-PODCAST_2484::MSP-PODCAST_2484_483,young_20s,female,selected,0.11838149419054386
Q12,3,gender_male,positive,more masculine-presenting,Which clip sounds more masculine-presenting?,audio/Q12_gender_male_positive_LibriTTS__3889__3889_9915_000007_000001_edited.wav,audio/Q12_gender_male_positive_LibriTTS__3889__3889_9915_000007_000001_reference.wav,edited,reference,A,0088_gender_male_positive_LibriTTS__3889__3889_9915_000007_000001,LibriTTS::3889::3889_9915_000007_000001,young_20s,female,maybe,1.3983121963683516
Q13,4,gender_male,negative,less masculine-presenting,Which clip sounds less masculine-presenting?,audio/Q13_gender_male_negative_NaturalVoices__MSP-PODCAST_6709__MSP-PODCAST_6709_14_edited.wav,audio/Q13_gender_male_negative_NaturalVoices__MSP-PODCAST_6709__MSP-PODCAST_6709_14_reference.wav,edited,reference,A,0062_gender_male_negative_NaturalVoices__MSP-PODCAST_6709__MSP-PODCAST_6709_14,NaturalVoices::MSP-PODCAST_6709::MSP-PODCAST_6709_14,senior_60s,male,maybe,1.404164606006816
Q14,4,gender_male,positive,more masculine-presenting,Which clip sounds more masculine-presenting?,audio/Q14_gender_male_positive_GLOBE__train__S_008034__00354203_000009.v2.vad_reference.wav,audio/Q14_gender_male_positive_GLOBE__train__S_008034__00354203_000009.v2.vad_edited.wav,reference,edited,B,0074_gender_male_positive_GLOBE__train__S_008034__00354203_000009.v2.vad,GLOBE::train::S_008034::00354203_000009.v2.vad,mid_40s,female,maybe,1.3973574107512832
Q15,4,gender_male,negative,less masculine-presenting,Which clip sounds less masculine-presenting?,audio/Q15_gender_male_negative_NaturalVoices__MSP-PODCAST_6649__MSP-PODCAST_6649_27_reference.wav,audio/Q15_gender_male_negative_NaturalVoices__MSP-PODCAST_6649__MSP-PODCAST_6649_27_edited.wav,reference,edited,B,0053_gender_male_negative_NaturalVoices__MSP-PODCAST_6649__MSP-PODCAST_6649_27,NaturalVoices::MSP-PODCAST_6649::MSP-PODCAST_6649_27,mid_40s,male,maybe,1.389038153574802
Q16,4,gender_male,positive,more masculine-presenting,Which clip sounds more masculine-presenting?,audio/Q16_gender_male_positive_NaturalVoices__MSP-PODCAST_4984__MSP-PODCAST_4984_162_edited.wav,audio/Q16_gender_male_positive_NaturalVoices__MSP-PODCAST_4984__MSP-PODCAST_4984_162_reference.wav,edited,reference,A,0075_gender_male_positive_NaturalVoices__MSP-PODCAST_4984__MSP-PODCAST_4984_162,NaturalVoices::MSP-PODCAST_4984::MSP-PODCAST_4984_162,mid_40s,female,maybe,1.3927328831050545
Q17,5,gender_male,negative,less masculine-presenting,Which clip sounds less masculine-presenting?,audio/Q17_gender_male_negative_GLOBE__train__S_017349__00470362_000000.v2.vad_edited.wav,audio/Q17_gender_male_negative_GLOBE__train__S_017349__00470362_000000.v2.vad_reference.wav,edited,reference,A,0071_gender_male_negative_GLOBE__train__S_017349__00470362_000000.v2.vad,GLOBE::train::S_017349::00470362_000000.v2.vad,young_20s,male,maybe,1.388668218627572
Q18,5,gender_male,positive,more masculine-presenting,Which clip sounds more masculine-presenting?,audio/Q18_gender_male_positive_GLOBE__train__S_004216__00510341_000002.v2.vad_reference.wav,audio/Q18_gender_male_positive_GLOBE__train__S_004216__00510341_000002.v2.vad_edited.wav,reference,edited,B,0090_gender_male_positive_GLOBE__train__S_004216__00510341_000002.v2.vad,GLOBE::train::S_004216::00510341_000002.v2.vad,young_20s,female,maybe,1.320426150225103
Q19,5,gender_male,negative,less masculine-presenting,Which clip sounds less masculine-presenting?,audio/Q19_gender_male_negative_VoxCeleb1__train__id10645__BryeQfBIpm4__00003_edited.wav,audio/Q19_gender_male_negative_VoxCeleb1__train__id10645__BryeQfBIpm4__00003_reference.wav,edited,reference,A,0055_gender_male_negative_VoxCeleb1__train__id10645__BryeQfBIpm4__00003,VoxCeleb1::train::id10645::BryeQfBIpm4::00003,mid_40s,male,maybe,1.3857388764154166
Q20,5,gender_male,positive,more masculine-presenting,Which clip sounds more masculine-presenting?,audio/Q20_gender_male_positive_LibriTTS__2346__2346_152201_000014_000002_edited.wav,audio/Q20_gender_male_positive_LibriTTS__2346__2346_152201_000014_000002_reference.wav,edited,reference,A,0091_gender_male_positive_LibriTTS__2346__2346_152201_000014_000002,LibriTTS::2346::2346_152201_000014_000002,young_20s,female,maybe,1.3101406241767108
