qid,set_id,attribute,target_direction,question_direction,clip_a,clip_b,clip_a_role,clip_b_role,correct_choice,source_trial_id,item_id,age_group,gender_group,decision_from_curation,selection_score
Q11,3,age,negative,positive,audio/Q11_age_negative_AESRC__British_G01802__G01802S5442_reference.wav,audio/Q11_age_negative_AESRC__British_G01802__G01802S5442_edited.wav,reference,edited,A,0022_age_negative_AESRC__British_G01802__G01802S5442,AESRC::British_G01802::G01802S5442,senior_60s,male,maybe,0.7408926337957382
Q12,3,age,positive,positive,audio/Q12_age_positive_GLOBE__train__S_017349__00470362_000000.v2.vad_edited.wav,audio/Q12_age_positive_GLOBE__train__S_017349__00470362_000000.v2.vad_reference.wav,edited,reference,A,0047_age_positive_GLOBE__train__S_017349__00470362_000000.v2.vad,GLOBE::train::S_017349::00470362_000000.v2.vad,young_20s,male,selected,0.8227294385433197
Q13,4,age,negative,positive,audio/Q13_age_negative_LibriTTS__6784__6784_76151_000035_000003_reference.wav,audio/Q13_age_negative_LibriTTS__6784__6784_76151_000035_000003_edited.wav,reference,edited,A,0004_age_negative_LibriTTS__6784__6784_76151_000035_000003,LibriTTS::6784::6784_76151_000035_000003,mid_40s,male,maybe,0.7282564789056778
Q14,4,age,positive,positive,audio/Q14_age_positive_AESRC__Indian_G0760__G0760S1086_reference.wav,audio/Q14_age_positive_AESRC__Indian_G0760__G0760S1086_edited.wav,reference,edited,B,0028_age_positive_AESRC__Indian_G0760__G0760S1086,AESRC::Indian_G0760::G0760S1086,mid_40s,male,selected,0.7570651471614838
Q15,4,age,negative,positive,audio/Q15_age_negative_GLOBE__train__S_018189__00337128_000002.v2.vad_edited.wav,audio/Q15_age_negative_GLOBE__train__S_018189__00337128_000002.v2.vad_reference.wav,edited,reference,B,0011_age_negative_GLOBE__train__S_018189__00337128_000002.v2.vad,GLOBE::train::S_018189::00337128_000002.v2.vad,senior_60s,female,maybe,0.703667014837265
Q16,4,age,positive,positive,audio/Q16_age_positive_AESRC__Portuguese_G10657__G10657S1068_reference.wav,audio/Q16_age_positive_AESRC__Portuguese_G10657__G10657S1068_edited.wav,reference,edited,B,0025_age_positive_AESRC__Portuguese_G10657__G10657S1068,AESRC::Portuguese_G10657::G10657S1068,mid_40s,female,selected,0.7166097611188889
Q17,5,age,negative,positive,audio/Q17_age_negative_VoxCeleb1__train__id10515__nlg1T-4enuI__00002_reference.wav,audio/Q17_age_negative_VoxCeleb1__train__id10515__nlg1T-4enuI__00002_edited.wav,reference,edited,A,0006_age_negative_VoxCeleb1__train__id10515__nlg1T-4enuI__00002,VoxCeleb1::train::id10515::nlg1T-4enuI::00002,mid_40s,male,maybe,0.6820309311151505
Q18,5,age,positive,positive,audio/Q18_age_positive_GLOBE__val__S_010055__00002970_000003.v2.vad_reference.wav,audio/Q18_age_positive_GLOBE__val__S_010055__00002970_000003.v2.vad_edited.wav,reference,edited,B,0033_age_positive_GLOBE__val__S_010055__00002970_000003.v2.vad,GLOBE::val::S_010055::00002970_000003.v2.vad,senior_60s,male,selected,0.6257304400205612
Q19,5,age,negative,positive,audio/Q19_age_negative_AESRC__Portuguese_G10503__G10503S1196_edited.wav,audio/Q19_age_negative_AESRC__Portuguese_G10503__G10503S1196_reference.wav,edited,reference,B,0002_age_negative_AESRC__Portuguese_G10503__G10503S1196,AESRC::Portuguese_G10503::G10503S1196,mid_40s,female,maybe,0.5815145075321198
Q20,5,age,positive,positive,audio/Q20_age_positive_AESRC__British_G00024__G00024S1081_edited.wav,audio/Q20_age_positive_AESRC__British_G00024__G00024S1081_reference.wav,edited,reference,A,0042_age_positive_AESRC__British_G00024__G00024S1081,AESRC::British_G00024::G00024S1081,young_20s,male,maybe,0.8983743339776993
